ObjectID,GlobalID,Plot,Specify other.,% Living Plant Cover,% thatch cover,% Bare Ground,% Living natives,% Living non-natives,Thatch depth (inches),Date of last rain,Inches of last rain,Herbivory on natives,Herbivory on non natives,Number of animal burrows,Entered Species,Total percent cover,lat,lon,Coordinates,Elevation,Date and Time,notes,Your initials,CreationDate,Creator,EditDate,Editor,Soil Moisture,Control,Control,x,y
1,02405507-e98b-413f-b872-5f6dd4adaa4a,4B,,13,77,10,7,6,4.6,,,no,no,7,NaN,NaN,34.460155,-119.754175,34°27’37”N 119°45’15”W,390 feet,8/11/2020 10:06:00 PM,Visible remnants of tractor tires marks through the plot from Thomas Fire mitigation,SES,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir,,,,-119.754175,34.460155
2,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,4A,,20,15,65,19,1,1.6,,,yes,no,0,NaN,NaN,34.460036,-119.75438734,"34°27’36”N, 119°45’16”W",400,8/13/2020 4:52:00 PM,Most of the Stipa bunches have burned out centers from the Thomas Fire; tractor tire marks visible in ~25% of plot; unknown scat present; Stipa looks like it has been grazed in the recent past (sheep?),SES,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir,,,,-119.75438734,34.460036
3,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,4D,,42,38,20,41,1,3.15,,,no,no,14,NaN,NaN,34.460484,-119.754974,"34°27’38”N, 119°45’18”W",420,8/13/2020 6:26:00 PM,"Unknown scat present; Stipa with charred centers; old, collapsed burrows present",SES,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir,,,,-119.754974,34.460484
4,7de09f52-d741-4528-89e8-71c75ed467e2,4C,,7,43,50,4,3,1.85,,,yes,no,30,NaN,NaN,34.460172,-119.7549732,"34°27’36”N, 119°45’18”W",410,8/13/2020 6:00:00 PM,"There are many more than 30 burrows, but they have been abandoned/collapsed in",SES,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir,,,,-119.7549732,34.460172
5,7266fc53-23b5-4df3-915a-420af4d0ee00,6A,,16,20,64,11,5,1.5,,,yes,yes,17,NaN,NaN,34.460182,-119.755414,"34°27’37”N, 119°45’19”W",420,8/18/2020 8:42:00 PM,"Many more than 17 burrows present, but most have collapsed in",SES,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir,,,,-119.755414,34.460182
6,ab28f32c-f877-405f-8035-39eeb6065c55,6B,,19,61,20,18,1,1.4,,,yes,yes,11,NaN,NaN,34.460379,-119.7556361,"34°27’37”N, 119°45’20”W",430,8/18/2020 9:25:00 PM,"Visible hoof prints dried in the clay; more abandoned burrows; signs of more recent soil activity (i.e. fresh dirt piles, probably a gopher)",SES,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir,,,,-119.7556361,34.460379
7,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,6D,,24,74,2,23,1,2.3,,,yes,no,3,NaN,NaN,34.46208,-119.7563008,"34°27’43”N, 119°45’23”W",480,8/18/2020 10:05:00 PM,Hoof prints in clay visible; multiple kinds of unknown scat present,SES,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir,,,,-119.7563008,34.46208
8,f64f6233-4a17-4b90-b044-ac98be73a818,6C,,45,30,25,38,7,1.55,,,no,yes,34,NaN,NaN,34.462588,-119.756182132,"34°27’45”N, 119°45’22”W",510,8/18/2020 10:55:00 PM,Unknown scat present,SES,8/19/2020 10:12:36 PM,CIR_FieldTech1,6/20/2024 11:37:30 PM,CIRArcGIS,,,yes,-119.756182132,34.462588
9,674cd3e1-e1ff-487e-9468-10c6f926185b,8B,,45,44,11,44,1,3.2,,,no,no,16,NaN,NaN,34.462127,-119.755432,"34°27’44”N, 119°45’20”W",470,8/18/2020 11:53:00 PM,Unknown scat present (I think sheep?),SES,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir,,,,-119.755432,34.462127
10,612e62f4-8fa8-4456-90c6-79c670250ca0,8C,,22,20,58,22,0,1.4,,,yes,no,7,NaN,NaN,34.461794,-119.7552585,"34°27’43”N, 119°45’19”W",460,8/19/2020 12:15:00 AM,"Much more Deinandra present, but ~90% passed; fresh gopher mounds present; tractor tire line visible through plot",SES,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir,,,,-119.7552585,34.461794
11,706ef153-54da-4d71-a190-9ac331c98bcf,5A,,1,98,1,,,1,,,no,no,3,NaN,NaN,34.463218,-119.757009,"34°27’47”N, 119°45’25”W",580,8/26/2020 10:31:00 PM,Fresh acorns present,SES,9/18/2020 8:51:50 PM,CIR_FieldTech1,12/19/2022 9:38:24 PM,ken_cir,,,,-119.757009,34.463218
12,67542a91-1501-435a-a115-30ac5564fac8,5B,,2,83,15,,,1.25,,,no,no,40,NaN,NaN,34.463415,-119.756862,"34°27’48”N, 119°45’25”",590,8/26/2020 11:01:00 PM,,SES,9/18/2020 8:57:43 PM,CIR_FieldTech1,12/19/2022 9:36:55 PM,ken_cir,,,,-119.756862,34.463415
13,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,3E,,30,63,7,26,4,2.2,,,no,no,41,NaN,NaN,34.462516,-119.758389,"34°27’45”N, 119°45’30”W",570,8/26/2020 11:33:00 PM,"~1/2 of Croton s. has senesced; probably more burrows than reported, hard to tell with uneven soil + thatch",SES,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir,,,,-119.758389,34.462516
14,57a7f93e-07c9-43b4-85a8-6ac960ae6fed,3A,,33,57,10,33,0,4,,,no,no,36,NaN,NaN,34.462062,-119.758495,"34°27’43”N, 119°45’30”W",560,8/31/2020 9:45:00 PM,"Site seems extra thatchy, with a dense cluster of Deinandra f.  compared to the adjacent space with lots of Croton s.",SES,9/18/2020 9:23:06 PM,CIR_FieldTech1,12/19/2022 9:33:27 PM,ken_cir,,,,-119.758495,34.462062
15,c8df7a4d-3933-47d4-b09b-36148dbd1311,3D,,32,10,58,32,0,1.3,,,no,no,21,NaN,NaN,34.461556,-119.75801,"34°27’42”N, 119°45’29”W",520,8/31/2020 10:10:00 PM,,SES,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir,,,,-119.75801,34.461556
16,93961b38-7480-4086-b895-05640e82f37e,3B,,6,39,55,6,0,0.95,,,yes,yes,7,NaN,NaN,34.462028,-119.758029,"34°27’43”N , 119°45’29”W",540,8/31/2020 10:26:00 PM,scar present (sheep I think); plot looks like a bald spot on the hillside when you walk up (looks overgrazed); Stipa p. bunches charred in the middle,SES,9/18/2020 9:36:00 PM,CIR_FieldTech1,12/19/2022 9:31:04 PM,ken_cir,,,,-119.758029,34.462028
17,e005638f-eee9-44b8-a8c2-3f2fbb1f8ddb,2C,,0,,,0,0,,,,,,,NaN,NaN,34.462086,-119.759483,", ",,8/31/2020 10:49:00 PM,No living plants in plot,SES,9/18/2020 9:40:53 PM,CIR_FieldTech1,12/19/2022 9:26:44 PM,ken_cir,,,,-119.759483,34.462086
18,1c0ee14a-5451-4204-8da5-3f7c0b2f968e,2A,,41,19,40,41,0,1.25,,,yes,no,10,NaN,NaN,34.461612,-119.759609,"34°27’42”N, 119°45’35”W",520,8/31/2020 10:52:00 PM,Deinandra f. has senesced (~25% of plot); scat present ,SES,9/18/2020 9:51:33 PM,CIR_FieldTech1,12/19/2022 9:29:36 PM,ken_cir,,,,-119.759609,34.461612
19,68124606-5121-457b-b462-f6f9e884e026,2B,,13,10,77,12,1,1.8,,,no,no,41,NaN,NaN,34.462086,-119.7594831,"34°27’44”N, 119°45’34”W",550,8/31/2020 11:18:00 PM,Soil extremely loose + dusty; many abandoned burrows,SES,9/18/2020 10:15:22 PM,CIR_FieldTech1,12/19/2022 9:28:04 PM,ken_cir,,,,-119.7594831,34.462086
20,ecf00a24-a78b-43a8-a4a9-2e71d99c2434,8A,,15,35,50,15,0,0.32,,,yes,no,3,NaN,NaN,34.462331,-119.755655,"34°27’44”N, 119°45’20”W",480,8/31/2020 11:46:00 PM,T-post for plot missing - used collector gps to roughly locate; significant amount of sheep scat present; most of the Deinandra f. has senesced; Stipa p. bunches charred in center,SES,9/18/2020 10:24:15 PM,CIR_FieldTech1,12/19/2022 9:24:54 PM,ken_cir,,,,-119.755655,34.462331
21,f4e88002-351e-45e6-8b2a-df1db9cdf81b,6A,,75,10,15,10,90,0,,,no,no,130,"Hirschfeldia_incana: 1%, Sonchus_asper: 1%, Baccharis_pilularis: %, Silene_gallica: 2%, Convolvulus_arvensis: %, Rumex_crispus: %, Calandrinia_menziesii: %, Corethrogyne_filaginifolia: %, Avena_barbata_or_fatua: %, Festuca_myuros: %, Vicia_sativa: %, Bromus_hordeaceus: 12%, Artemisia_californica: %, Hypochaeris_glabra: 5%, Medicago_polymorpha: %, Lupinus_bicolor: %, Acmispon_wrangelianus: %, Bromus_diandrus: 8%, Lathyrus_vestitus: %, Erodium_botrys: 50%, Stipa_pulchra: 5%, other: 1%, Sisyrinchium_bellum: %, ",100%,34.46018216810893,-119.75541425221583,"34.46018216810893, -119.75541425221583",500,3/15/2022 3:46:00 PM,,WM (Wyatt McLean),3/15/2022 11:16:16 PM,CIR_FieldTech1,3/15/2022 11:16:16 PM,CIR_FieldTech1,,,,-119.755414252216,34.4601821681089
22,8215fe6c-f92b-4d60-ab67-d2b717eaf2d6,4D,,90,15,5,35,65,1,,,no,no,40,"Erodium_botrys: 30%, Hazardia_squarrosa: 1%, other: %, Corethrogyne_filaginifolia: 1%, Bromus_hordeaceus: 10%, Bromus_diandrus: 10%, Festuca_myuros: 10%, Silene_gallica: %, Plantago_erecta: %, Acmispon_wrangelianus: 1%, Bromus_madritensis: 1%, Artemisia_californica: 1%, Stipa_pulchra: 30%, Avena_barbata_or_fatua: 5%, Medicago_polymorpha: %, Erigeron_canadensis: %, : %, ",100%,34.46048379956863,-119.75497381768244,"34.46048379956863, -119.75497381768244",500,3/15/2022 10:11:00 PM,,WM,3/15/2022 11:16:26 PM,CIR_FieldTech1,3/15/2022 11:16:26 PM,CIR_FieldTech1,,,,-119.754973817682,34.4604837995686
23,554f2a96-d324-457d-ab58-f87a311d9811,6B,,60,20,20,40,60,1,,,no,no,100,"Lacticu_serriola: %, Sonchus_asper: %, Hypochaeris_glabra: %, : %, Medicago_polymorpha: %, Plantago_erecta: %, Artemisia_californica: %, Dichelostemma_capitatum: %, Lupinus_bicolor: %, Deinandra_fasciculata: %, Hazardia_squarrosa: %, Erigeron_canadensis: %, Stipa_pulchra: %, Erodium_botrys: %, Festuca_myuros: %, Bromus_hordeaceus: %, Bromus_diandrus: 8%, other: %, Salsola_tragus: %, Brassica_nigra: %, Bloomeria_crocea: %, Bromus_madritensis: 1%, Silene_gallica: %, other: %, : %, ",100%,34.460379388096335,-119.75563612527766,"34.460379388096335, -119.75563612527766",500,3/15/2022 10:49:00 PM,,WM,3/15/2022 11:16:42 PM,CIR_FieldTech1,3/15/2022 11:16:42 PM,CIR_FieldTech1,,,,-119.755636125278,34.4603793880963
24,963698f4-f958-45de-a4f4-959c88253024,4C,,75,13,10,2,73,1,,,no,no,145,"Lysimachia_arvensis: %, Festuca_perennis: %, Festuca_myuros: 1%, : %, Stipa_pulchra: 2%, Avena_barbata_or_fatua: 6%, Bromus_diandrus: 8%, : %, Bromus_hordeaceus: 3%, Convolvulus_arvensis: %, Lathyrus_vestitus: %, : %, Silene_gallica: %, Erodium_botrys: 80%, : %, : %, : %, ",100%,34.4601717,-119.7549732,"34.4601717, -119.7549732",500',3/15/2022 9:00:00 PM,,Brad Meiners,3/15/2022 11:17:09 PM,CIR_FieldTech1,3/15/2022 11:17:09 PM,CIR_FieldTech1,,,,-119.7549732,34.4601717
25,32a9bad0-a6a7-4bdc-93b9-7f5f26df57f2,4A,,35,30,35,32,68,1,,,,,,"other: 2%, Hazardia_squarrosa: %, Acmispon_wrangelianus: %, Erodium_botrys: 50%, other: 10%, Corethrogyne_filaginifolia: %, Stipa_pulchra: 15%, Sonchus_asper: %, Silene_gallica: %, Avena_barbata_or_fatua: 1%, Plantago_lanceolata: 1%, Sisyrinchium_bellum: %, Bromus_hordeaceus: 1%, Castilleja_exserta: %, Lysimachia_arvensis: %, Hypochaeris_glabra: %, Bromus_madritensis: 20%, : %, ",100%,34.46003606731043,-119.75438733777588,"34.46003606731043, -119.75438733777588",500,3/16/2022 7:39:00 PM,,WM,3/16/2022 8:34:01 PM,CIR_FieldTech1,3/16/2022 8:34:01 PM,CIR_FieldTech1,,,,-119.754387337776,34.4600360673104
26,6637da69-7981-410f-bd3f-cdbeeb889028,4B,,65,15,20,40,60,2,,,no,no,130,"Corethrogyne_filaginifolia: %, Lathyrus_vestitus: 1%, Sisyrinchium_bellum: 1%, Acmispon_wrangelianus: 1%, Hazardia_squarrosa: 1%, Artemisia_californica: 1%, Stipa_pulchra: 5%, Lupinus_nanus: 30%, Sonchus_asper: %, Plantago_lanceolata: %, Lacticu_serriola: %, Brassica_nigra: %, other: %, Erodium_cicutarium: 1%, Erodium_botrys: 2%, Bromus_hordeaceus: 1%, Bromus_madritensis: 1%, Medicago_polymorpha: %, Hypochaeris_glabra: %, Lysimachia_arvensis: %, Silene_gallica: %, other: %, Avena_barbata_or_fatua: 24%, Festuca_myuros: 15%, Bromus_diandrus: 15%, ",99%,34.46015483413734,-119.75417490669513,"34.46015483413734, -119.75417490669513",500,3/16/2022 8:44:00 PM,,WM,3/16/2022 9:47:07 PM,CIR_FieldTech1,3/16/2022 9:47:07 PM,CIR_FieldTech1,,,,-119.754174906695,34.4601548341373
27,88f54b38-561b-43f6-bfe8-a3f8b5b599e7,6C,,90,10,0,15,85,2,,,no,no,,"other: 5%, Amsinckia_intermedia: 10%, other: %, Hirschfeldia_incana: 7%, Bromus_diandrus: 78%, : %, ",100%,34.46258798945352,-119.75618213236622,"34.46258798945352, -119.75618213236622",600,3/16/2022 10:30:00 PM,,WM,3/16/2022 10:46:58 PM,CIR_FieldTech1,3/16/2022 10:46:58 PM,CIR_FieldTech1,,,,-119.756182132366,34.4625879894535
28,a0fbbfed-9557-4f47-8eb4-08f2f107d063,8B,,65,15,20,50,50,2,,,no,yes,110,"Dichelostemma_capitatum: 2%, Bloomeria_crocea: 2%, Artemisia_californica: 1%, Silene_gallica: %, Atriplex_semibaccata: %, Hypochaeris_glabra: %, Stipa_pulchra: 40%, Medicago_polymorpha: %, Brassica_nigra: 2%, other: 2%, other: %, Avena_barbata_or_fatua: %, Bromus_hordeaceus: 1%, : %, Bromus_diandrus: %, Festuca_myuros: %, Erodium_botrys: %, : %, ",100%,34.4621266,-119.7554325,"34.4621266, -119.7554325",550,3/16/2022 10:59:00 PM,,Brad Meiners,3/17/2022 4:07:50 PM,CIR_FieldTech1,3/17/2022 4:07:50 PM,CIR_FieldTech1,,,,-119.7554325,34.4621266
29,5dab7d0d-1004-4001-a496-f08a7a249f88,8C,,60,20,20,15,85,1,,,no,no,35,"Hazardia_squarrosa: 1%, Artemisia_californica: %, other: 1%, Stipa_pulchra: 14%, Hypochaeris_glabra: %, Brassica_nigra: 1%, Sonchus_asper: %, Medicago_polymorpha: 2%, Bromus_hordeaceus: 1%, Bromus_madritensis: %, Festuca_myuros: 15%, Avena_barbata_or_fatua: 20%, Erodium_botrys: 45%, other: %, Festuca_perennis: %, : %, : %, ",100%,34.4617942,-119.7552585,"34.4617942, -119.7552585",,3/17/2022 4:08:00 PM,,Brad meiners,3/17/2022 4:42:35 PM,CIR_FieldTech1,3/17/2022 4:42:35 PM,CIR_FieldTech1,,,,-119.7552585,34.4617942
30,67dc850f-e94b-4047-b22a-c16209af86bd,8A,,60,20,20,42,58,1,,,no,yes,15,"other: 3%, Stipa_pulchra: 40%, Hazardia_squarrosa: %, Sonchus_asper: 2%, Hypochaeris_glabra: %, Medicago_polymorpha: %, Salsola_tragus: %, Brassica_nigra: %, Hordeum_murinum: %, Bromus_madritensis: 4%, Bromus_hordeaceus: %, Festuca_myuros: %, Erodium_cicutarium: %, Bromus_diandrus: %, Erodium_botrys: %, : %, ",100%,34.4623309,-119.7556552,"34.4623309, -119.7556552",,3/17/2022 4:50:00 PM,,Brad Meiners,3/17/2022 5:46:03 PM,CIR_FieldTech1,3/17/2022 5:46:03 PM,CIR_FieldTech1,,,,-119.7556552,34.4623309
31,b1f99962-9710-4070-baf5-dc0dbe197b6f,6D,,50,30,20,40,60,1,,,no,yes,12,"other: %, Dichelostemma_capitatum: 1%, other: %, other: 5%, Stipa_pulchra: 36%, Silene_gallica: 1%, Hypochaeris_glabra: %, Sonchus_asper: 1%, Brassica_nigra: 2%, Bromus_diandrus: 1%, Avena_barbata_or_fatua: 1%, Medicago_polymorpha: %, Bromus_madritensis: 3%, Festuca_perennis: 8%, Lacticu_serriola: %, Erodium_botrys: 41%, ",100%,34.46208010096164,-119.75630074677696,"34.46208010096164, -119.75630074677696",550,3/17/2022 6:25:00 PM,,Erica Weed,3/17/2022 7:15:59 PM,CIR_FieldTech1,3/17/2022 7:15:59 PM,CIR_FieldTech1,,,,-119.756300746777,34.4620801009616
32,fdc61236-cd7b-4c7f-8834-29b48727635b,5A,,50,40,10,10,90,1,,,no,no,55,"Phacelia_hubbyi: 1%, Lupinus_sparsiflorus: %, other: %, Quercus_agrifolia: 7%, Chenopodium_: %, other: 3%, Brassica_nigra: 1%, Lacticu_serriola: 1%, Sonchus_asper: 1%, Chenopodium_: %, Bromus_diandrus: %, Chenopodium_murale: 61%, ",100%,34.46321842093081,-119.7570087072477,"34.46321842093081, -119.7570087072477",650,3/17/2022 7:35:00 PM,,Erica Weed,3/17/2022 8:20:00 PM,CIR_FieldTech1,3/17/2022 8:20:00 PM,CIR_FieldTech1,,,,-119.757008707248,34.4632184209308
33,6a2a9f10-51e9-4a37-846d-85eaf09377ff,5B,,60,20,20,5,95,3,,,yes,yes,76,"Eucrypta_chrysanthemifolia: %, Phacelia_hubbyi: %, other: 1%, other: 1%, Silene_gallica: 2%, other: 1%, Chenopodium_: %, Chenopodium_murale: %, Hirschfeldia_incana: %, Brassica_nigra: %, Bromus_diandrus: %, : %, ",100%,34.463415,-119.756862,"34.463415, -119.756862",,3/17/2022 8:54:00 PM,,Brad Meiners,3/17/2022 9:46:36 PM,CIR_FieldTech1,3/17/2022 9:46:36 PM,CIR_FieldTech1,,,,-119.756862,34.463415
34,7b3ec6ab-3d1a-4abe-a182-ed62503f5cc5,3E,,90,5,5,2,98,3,,,no,no,100,"Amsinckia_intermedia: 2%, Hirschfeldia_incana: 1%, Sonchus_asper: 1%, Chenopodium_: 2%, Calandrinia_menziesii: 2%, Medicago_polymorpha: 1%, Erigeron_canadensis: 1%, Lacticu_serriola: 1%, Brassica_nigra: 2%, Bromus_diandrus: 87%, : %, ",100%,34.4625163,-119.7583886,"34.4625163, -119.7583886",650,3/17/2022 10:48:00 PM,,Brad Meiners,3/17/2022 11:05:53 PM,CIR_FieldTech1,3/17/2022 11:05:53 PM,CIR_FieldTech1,,,,-119.7583886,34.4625163
35,3602083f-d134-4656-851b-bc6288271445,other,Thought 3E didn’t have a post(GPS point is incorrect on map). So we did a plot here(see GPS). We ended up finding the 3E post later.,80,12,8,7,93,3,,,no,no,100,"Amsinckia_intermedia: 1%, Croton_setigerus: 1%, other: 2%, other: 3%, Eucrypta_chrysanthemifolia: 1%, Brassica_nigra: 5%, Chenopodium_: 15%, other: 15%, Bromus_diandrus: 57%, ",100%,34.46263482276077,-119.75848989664853,"34.46263482276077, -119.75848989664853",650,3/17/2022 10:07:00 PM,,Erica Weed,3/17/2022 11:07:52 PM,CIR_FieldTech1,9/12/2024 12:54:40 AM,CIR_FieldTech1,,,,-119.758489896649,34.4626348227608
36,6b0e6e70-c81e-4bc0-8c05-01529f5baa14,3A,,85,10,5,15,85,3,,,no,no,290,"Dichelostemma_capitatum: %, Chenopodium_murale: 1%, Avena_barbata_or_fatua: 2%, Deinandra_fasciculata: 15%, Brassica_nigra: %, Sonchus_asper: %, Silene_gallica: %, Erodium_botrys: 41%, Bromus_diandrus: 41%, : %, ",100%,34.4620616,-119.7584947,"34.4620616, -119.7584947",,3/18/2022 3:36:00 PM,,Brad Meiners,3/18/2022 4:10:51 PM,CIR_FieldTech1,3/18/2022 4:10:51 PM,CIR_FieldTech1,,,,-119.7584947,34.4620616
37,05b006a4-ed98-4a3c-bdc9-9af4b1e5a36c,3B,,39,8,42,40,60,2,,,yes,no,65,"Dichelostemma_capitatum: %, Castilleja_exserta: 1%, Chlorogalum_pomeridianum: %, Acmispon_wrangelianus: %, Deinandra_fasciculata: %, Stipa_pulchra: %, Bromus_madritensis: %, Medicago_polymorpha: %, Festuca_perennis: %, Hypochaeris_glabra: %, Bromus_diandrus: %, Erodium_botrys: %, : %, ",100%,34.4620279,-119.7580286,"34.4620279, -119.7580286",625,3/18/2022 4:48:00 PM,,Brad Meiners,3/18/2022 5:19:05 PM,CIR_FieldTech1,3/18/2022 5:19:05 PM,CIR_FieldTech1,,,,-119.7580286,34.4620279
38,222bcd72-acbc-4277-86cd-56e54510a276,3C,,70,15,15,6,94,3,,,no,yes,250,"Lupinus_bicolor: 3%, Deinandra_fasciculata: 2%, Artemisia_californica: 1%, Lysimachia_arvensis: 1%, Silene_gallica: 1%, Silybum_marianum: %, Sonchus_asper: 1%, Medicago_polymorpha: %, Hypochaeris_glabra: %, Chenopodium_murale: 5%, Lacticu_serriola: 1%, Festuca_perennis: %, Bromus_madritensis: %, Bromus_diandrus: 35%, Erodium_botrys: 50%, Stipa_pulchra: %, ",100%,34.46217767150692,-119.75793991921134,"34.46217767150692, -119.75793991921134",650,3/18/2022 5:54:00 PM,GPS point is incorrect on FieldMaps,Erica Weed,3/18/2022 7:36:19 PM,CIR_FieldTech1,3/18/2022 7:36:19 PM,CIR_FieldTech1,,,,-119.757939919211,34.4621776715069
